P17,4,"['112519','113116','112519','108456','112519','118027','112519','110724','']",五帝内座,"[339.96825818272737,342.04530983767415,339.96825818272737,332.7048723463232,339.96825818272737,349.55595772410936,339.96825818272737,334.68660805690797]","[77.86355153244662,78.99660003314392,77.86355153244662,77.93977580583636,77.86355153244662,77.6451961421158,77.86355153244662,75.60251825268719]",False,"[4.77,4.7,4.77,6.92,4.77,6.57,4.77,6.68]"
P18,6,"['9480','13367','13367','12821','12821','11569','11569','9009','9009','8016','8016','7650']",华盖,"[12.545564019348195,23.177408698544536,23.177408698544536,22.010990087612065,22.010990087612065,18.8577065278072,18.8577065278072,11.81941177377875,11.81941177377875,8.84106860952193,8.84106860952193,7.502510260780827]","[65.72080590743316,64.21415179294704,64.21415179294704,63.074588107867356,63.074588107867356,62.482637338999865,62.482637338999865,63.461804188135176,63.461804188135176,65.30133980678532,65.30133980678532,67.6843549621237]",False,"[4.49,5.94,5.94,5.95,5.95,4.46,4.46,4.97,4.97,5.18,5.18,5.28]"
P19,8,"['19461','14844','14844','13055','13055','10309','10309','9568','9568','9727','9727','9763','9763','9586','9586','9598']",杠(附华盖),"[29.4719559678122,19.050490308783765,19.050490308783765,15.366587444973169,15.366587444973169,11.18809304676374,11.18809304676374,10.449163045142637,10.449163045142637,11.11501201331114,11.11501201331114,11.660193663704867,11.660193663704867,11.996175054446752,11.996175054446752,12.45449084427211]","[76.77010469906514,76.7811009304943,76.7811009304943,76.5264443889758,76.5264443889758,74.51901180461249,74.51901180461249,72.69210559285442,72.69210559285442,72.07836857124437,72.07836857124437,70.92487603400963,70.92487603400963,68.6582928920167,68.6582928920167,67.23933796408015]",False,"[5.1,5.92,5.92,5.8,5.8,6.46,6.46,6.04,6.04,5.27,5.27,5.22,5.22,6.12,6.12,3.95]"
P20,8,"['20266','19177','19177','17884','17884','15890','15890','8362','8362','6312','6312','5566','5566','4572','4572','3951']",传舍,"[43.29081190147419,40.08766027250212,40.08766027250212,36.3763572125391,36.3763572125391,31.31419360210899,31.31419360210899,10.860532125423608,10.860532125423608,5.172484874360187,5.172484874360187,3.1880312802351463,3.1880312802351463,0.3672636569776427,0.3672636569776427,358.8543031927086]","[61.876280971221746,61.997426778402044,61.997426778402044,61.7104143523206,61.7104143523206,60.39115321814052,60.39115321814052,58.57982512266018,58.57982512266018,59.223864563848146,59.223864563848146,58.725561035243466,58.725561035243466,60.82879442963066,60.82879442963066,58.70516116435983]",False,"[5.26,6.14,6.14,4.39,4.39,5.13,5.13,5.63,5.63,6.33,6.33,5.56,5.56,5.97,5.97,5.35]"
P21,4,"['44390','37949','37949','36528','42527','40215','40215','36211']",内阶,"[110.56854352817793,91.64064339918392,91.64064339918392,85.62726633797901,106.4043125453415,96.41619020090452,96.41619020090452,86.21976105763311]","[70.69500942052144,66.8313116474669,66.8313116474669,69.36601648330654,66.98022157630437,70.38201632110798,70.38201632110798,67.21752049484225]",False,"[4.74,5.93,5.93,5.63,4.59,5.34,5.34,6.47]"
P22,4,"['97433','95081','95081','90344','91315','94376','94376','98702']",天厨,"[297.19621454348254,288.56360708655734,288.56360708655734,275.76301201009943,277.04848800542635,287.7460840833805,287.7460840833805,299.03517628782487]","[67.70522115107708,63.85143186746142,63.85143186746142,64.95814644271427,61.7201648555959,65.92848307840072,65.92848307840072,65.07926467087498]",False,"[3.84,4.6,4.6,4.82,5.74,3.07,3.07,4.51]"
P23,7,"['23522','21601','21601','20376','20376','21452','21452','22783','22783','24017','24017','22626','22626','24914']",八谷,"[54.543987199934776,48.659621506575014,48.659621506575014,44.98879925999972,44.98879925999972,47.096118943187506,47.096118943187506,50.155961096201295,50.155961096201295,54.302859163324186,54.302859163324186,50.89260208232036,50.89260208232036,57.65743620028263]","[58.101718185089204,58.01946909487646,58.01946909487646,57.55232430270286,57.55232430270286,61.31069147245508,61.31069147245508,63.70492100804785,63.70492100804785,62.634800308026115,62.634800308026115,60.87997598385221,60.87997598385221,60.64206162375601]",False,"[4.03,6.64,6.64,5.4,5.4,5.91,5.91,4.26,4.26,6.37,6.37,5.47,5.47,5.64]"
P24,4,"['87585','85829','85829','85670','85670','87833','87833','86414']",天棓,"[264.19046520387184,258.3333110891871,258.3333110891871,257.05706721157424,257.05706721157424,263.4078147001593,263.4078147001593,257.8779998841597]","[57.22856974888645,56.06980586564443,56.06980586564443,53.280989567203406,53.280989567203406,51.8447254428784,51.8447254428784,46.83739272122632]",False,"[3.73,4.86,4.86,2.79,2.79,2.24,2.24,3.82]"
P25,4,"['73507','71040','71040','70952','72664','71876','71876','68184']",天床,"[219.76180418833508,211.24078978194038,211.24078978194038,211.89345071714558,216.63560025582456,214.5479528484367,214.5479528484367,201.52739731638678]","[64.31167616446457,64.81480180452877,64.81480180452877,67.76550944410837,63.58103627383528,65.68345219439763,65.68345219439763,66.52521635525139]",False,"[5.91,6.26,6.26,6.1,5.48,6.24,6.24,6.49]"
P26,1,"['62423','63076']",内厨,"[180.77630009639446,183.1640232077513]","[72.32538656232776,70.9460975830267]",False,"[5.43,5.23]"
